,Private_Key,Hybrid,Geom1,Geom2,length,k_Value,Hybrid_Perc,NonHyb_Cell_Count,Hyb_Cell_Count,TotalAtom,DimLow,DimHigh,Volume,Density,Norm_Density,Max_Stress,Norm_Stress,Strain_At_Max_Stress,Strain_At_SSR,Stress_At_SSR,Young_Modulus,Norm_Young_Modulus,Folder,Geom_File,Stress_File
503,503,True,SchwarzD,SchwarzGGyroid,30,0.0,25,2,1,11368.0,-30.0,30.0,216000.0,1049.6840039941915,0.45638434956269197,7.996898824934654,0.06151460634565118,0.11600000000000046,0.050000000000000065,4.628075524896704,92.56151049793395,0.09074657891954309,/Volumes/ofeye_external/01. ITU/02. Makale Çalışmaları/04. Analysis Files/02. Tamamlanmış/503_Hybrid_SchwarzD_SchwarzGGyroid_30_0_Perc25_1_2_29_142_202327120327,/Volumes/ofeye_external/01. ITU/02. Makale Çalışmaları/04. Analysis Files/02. Tamamlanmış/503_Hybrid_SchwarzD_SchwarzGGyroid_30_0_Perc25_1_2_29_142_202327120327/12_Hybrid_SchwarzD_SchwarzGGyroid_30_0_Perc25_1_2_29_142_202327120327.dat,/Volumes/ofeye_external/01. ITU/02. Makale Çalışmaları/04. Analysis Files/02. Tamamlanmış/503_Hybrid_SchwarzD_SchwarzGGyroid_30_0_Perc25_1_2_29_142_202327120327/stress.10K.0.5e.out/..
504,504,True,SchwarzD,SchwarzGGyroid,30,0.1,25,2,1,11256.0,-30.0,30.0,216000.0,1039.3422896691254,0.45188795203005455,8.663784474522968,0.06664449595786899,0.18245000000000017,0.04999999999999997,4.164411253664177,83.2882250732836,0.08165512262086627,/Volumes/ofeye_external/01. ITU/02. Makale Çalışmaları/04. Analysis Files/02. Tamamlanmış/504_Hybrid_SchwarzD_SchwarzGGyroid_30_01_Perc25_1_2_29_142_202330120330,/Volumes/ofeye_external/01. ITU/02. Makale Çalışmaları/04. Analysis Files/02. Tamamlanmış/504_Hybrid_SchwarzD_SchwarzGGyroid_30_01_Perc25_1_2_29_142_202330120330/13_Hybrid_SchwarzD_SchwarzGGyroid_30_01_Perc25_1_2_29_142_202330120330.dat,/Volumes/ofeye_external/01. ITU/02. Makale Çalışmaları/04. Analysis Files/02. Tamamlanmış/504_Hybrid_SchwarzD_SchwarzGGyroid_30_01_Perc25_1_2_29_142_202330120330/stress.10K.0.5e.out/..
505,505,True,SchwarzD,SchwarzGGyroid,30,0.4,25,2,1,11408.0,-30.0,30.0,216000.0,1053.3774733960008,0.4579902058243482,7.481277776005433,0.05754829058465717,0.19384999999999966,0.04999999999999997,2.800688325555983,56.0137665111197,0.05491545736384284,/Volumes/ofeye_external/01. ITU/02. Makale Çalışmaları/04. Analysis Files/02. Tamamlanmış/505_Hybrid_SchwarzD_SchwarzGGyroid_30_04_Perc25_1_2_29_142_202334120334,/Volumes/ofeye_external/01. ITU/02. Makale Çalışmaları/04. Analysis Files/02. Tamamlanmış/505_Hybrid_SchwarzD_SchwarzGGyroid_30_04_Perc25_1_2_29_142_202334120334/16_Hybrid_SchwarzD_SchwarzGGyroid_30_04_Perc25_1_2_29_142_202334120334.dat,/Volumes/ofeye_external/01. ITU/02. Makale Çalışmaları/04. Analysis Files/02. Tamamlanmış/505_Hybrid_SchwarzD_SchwarzGGyroid_30_04_Perc25_1_2_29_142_202334120334/stress.10K.0.5e.out/..
506,506,True,SchwarzD,SchwarzGGyroid,30,0.5,25,2,1,11284.0,-30.0,30.0,216000.0,1041.927718250392,0.45301205141321393,7.153093683908851,0.05502379756852962,0.16300000000000028,0.05000000000000009,3.420649496780751,68.41298993561489,0.06707155876040675,/Volumes/ofeye_external/01. ITU/02. Makale Çalışmaları/04. Analysis Files/02. Tamamlanmış/506_Hybrid_SchwarzD_SchwarzGGyroid_30_05_Perc25_1_2_29_142_202338120338,/Volumes/ofeye_external/01. ITU/02. Makale Çalışmaları/04. Analysis Files/02. Tamamlanmış/506_Hybrid_SchwarzD_SchwarzGGyroid_30_05_Perc25_1_2_29_142_202338120338/17_Hybrid_SchwarzD_SchwarzGGyroid_30_05_Perc25_1_2_29_142_202338120338.dat,/Volumes/ofeye_external/01. ITU/02. Makale Çalışmaları/04. Analysis Files/02. Tamamlanmış/506_Hybrid_SchwarzD_SchwarzGGyroid_30_05_Perc25_1_2_29_142_202338120338/stress.10K.0.5e.out/..
507,507,True,SchwarzD,SchwarzGGyroid,30,0.6,25,2,1,11355.0,-30.0,30.0,216000.0,1048.4836264386036,0.4558624462776537,7.477908917133053,0.057522376285638874,0.14484999999999984,0.04999999999999994,3.1339971646381333,62.679943292762744,0.06145092479682622,/Volumes/ofeye_external/01. ITU/02. Makale Çalışmaları/04. Analysis Files/02. Tamamlanmış/507_Hybrid_SchwarzD_SchwarzGGyroid_30_06_Perc25_1_2_29_142_202341120341,/Volumes/ofeye_external/01. ITU/02. Makale Çalışmaları/04. Analysis Files/02. Tamamlanmış/507_Hybrid_SchwarzD_SchwarzGGyroid_30_06_Perc25_1_2_29_142_202341120341/18_Hybrid_SchwarzD_SchwarzGGyroid_30_06_Perc25_1_2_29_142_202341120341.dat,/Volumes/ofeye_external/01. ITU/02. Makale Çalışmaları/04. Analysis Files/02. Tamamlanmış/507_Hybrid_SchwarzD_SchwarzGGyroid_30_06_Perc25_1_2_29_142_202341120341/stress.10K.0.5e.out/..
508,508,True,SchwarzD,SchwarzGGyroid,30,0.7,25,2,1,11527.0,-30.0,30.0,216000.0,1064.3655448663835,0.46276762820277545,8.505400165928142,0.06542615512252417,0.19720000000000026,0.050000000000000065,2.842738584796111,56.854771695922146,0.05573997225090407,/Volumes/ofeye_external/01. ITU/02. Makale Çalışmaları/04. Analysis Files/02. Tamamlanmış/508_Hybrid_SchwarzD_SchwarzGGyroid_30_07_Perc25_1_2_29_142_202344120344,/Volumes/ofeye_external/01. ITU/02. Makale Çalışmaları/04. Analysis Files/02. Tamamlanmış/508_Hybrid_SchwarzD_SchwarzGGyroid_30_07_Perc25_1_2_29_142_202344120344/19_Hybrid_SchwarzD_SchwarzGGyroid_30_07_Perc25_1_2_29_142_202344120344.dat,/Volumes/ofeye_external/01. ITU/02. Makale Çalışmaları/04. Analysis Files/02. Tamamlanmış/508_Hybrid_SchwarzD_SchwarzGGyroid_30_07_Perc25_1_2_29_142_202344120344/stress.10K.0.5e.out/..
509,509,True,SchwarzD,SchwarzGGyroid,30,0.8,25,2,1,11440.0,-30.0,30.0,216000.0,1056.3322489174484,0.45927489083367323,7.172576127683874,0.055173662520645185,0.14019999999999952,0.04999999999999993,3.3142698283201946,66.28539656640397,0.0649856829082392,/Volumes/ofeye_external/01. ITU/02. Makale Çalışmaları/04. Analysis Files/02. Tamamlanmış/509_Hybrid_SchwarzD_SchwarzGGyroid_30_08_Perc25_1_2_29_142_202347120347,/Volumes/ofeye_external/01. ITU/02. Makale Çalışmaları/04. Analysis Files/02. Tamamlanmış/509_Hybrid_SchwarzD_SchwarzGGyroid_30_08_Perc25_1_2_29_142_202347120347/20_Hybrid_SchwarzD_SchwarzGGyroid_30_08_Perc25_1_2_29_142_202347120347.dat,/Volumes/ofeye_external/01. ITU/02. Makale Çalışmaları/04. Analysis Files/02. Tamamlanmış/509_Hybrid_SchwarzD_SchwarzGGyroid_30_08_Perc25_1_2_29_142_202347120347/stress.10K.0.5e.out/..
510,510,True,SchwarzD,SchwarzGGyroid,30,0.9,25,2,1,11582.0,-30.0,30.0,216000.0,1069.4440652938713,0.46497568056255273,7.0156190964976775,0.05396630074228983,0.15495000000000034,0.04999999999999993,2.6509537774443968,53.019075548888004,0.05197948583224314,/Volumes/ofeye_external/01. ITU/02. Makale Çalışmaları/04. Analysis Files/02. Tamamlanmış/510_Hybrid_SchwarzD_SchwarzGGyroid_30_09_Perc25_1_2_29_142_202350120350,/Volumes/ofeye_external/01. ITU/02. Makale Çalışmaları/04. Analysis Files/02. Tamamlanmış/510_Hybrid_SchwarzD_SchwarzGGyroid_30_09_Perc25_1_2_29_142_202350120350/21_Hybrid_SchwarzD_SchwarzGGyroid_30_09_Perc25_1_2_29_142_202350120350.dat,/Volumes/ofeye_external/01. ITU/02. Makale Çalışmaları/04. Analysis Files/02. Tamamlanmış/510_Hybrid_SchwarzD_SchwarzGGyroid_30_09_Perc25_1_2_29_142_202350120350/stress.10K.0.5e.out/..
511,511,True,SchwarzD,SchwarzGGyroid,30,1.0,25,2,1,11646.0,-30.0,30.0,216000.0,1075.3536163367658,0.4675450505812025,6.619599743811403,0.05091999802931848,0.15584999999999985,0.049999999999999926,2.597984346594683,51.959686931893735,0.05094086954107229,/Volumes/ofeye_external/01. ITU/02. Makale Çalışmaları/04. Analysis Files/02. Tamamlanmış/511_Hybrid_SchwarzD_SchwarzGGyroid_30_1_Perc25_1_2_29_142_202353120353,/Volumes/ofeye_external/01. ITU/02. Makale Çalışmaları/04. Analysis Files/02. Tamamlanmış/511_Hybrid_SchwarzD_SchwarzGGyroid_30_1_Perc25_1_2_29_142_202353120353/22_Hybrid_SchwarzD_SchwarzGGyroid_30_1_Perc25_1_2_29_142_202353120353.dat,/Volumes/ofeye_external/01. ITU/02. Makale Çalışmaları/04. Analysis Files/02. Tamamlanmış/511_Hybrid_SchwarzD_SchwarzGGyroid_30_1_Perc25_1_2_29_142_202353120353/stress.10K.0.5e.out/..
512,512,True,SchwarzGGyroid,SchwarzD,30,0.0,25,2,1,8839.0,-30.0,30.0,216000.0,816.1644010648012,0.35485408741947877,6.830696970851654,0.05254382285270503,0.1389500000000006,0.04999999999999998,3.6816449479047835,73.6328989580957,0.07218911662558401,/Volumes/ofeye_external/01. ITU/02. Makale Çalışmaları/04. Analysis Files/02. Tamamlanmış/512_Hybrid_SchwarzGGyroid_SchwarzD_30_0_Perc25_1_2_29_142_202356120356,/Volumes/ofeye_external/01. ITU/02. Makale Çalışmaları/04. Analysis Files/02. Tamamlanmış/512_Hybrid_SchwarzGGyroid_SchwarzD_30_0_Perc25_1_2_29_142_202356120356/23_Hybrid_SchwarzGGyroid_SchwarzD_30_0_Perc25_1_2_29_142_202356120356.dat,/Volumes/ofeye_external/01. ITU/02. Makale Çalışmaları/04. Analysis Files/02. Tamamlanmış/512_Hybrid_SchwarzGGyroid_SchwarzD_30_0_Perc25_1_2_29_142_202356120356/stress.10K.0.5e.out/..
